State,Testing Site Name,Facility Type,Testing Site Address,Testing Site Zip,Testing Site Phone Number,Testing Site Hours,Instructions,URL Source,Testing Site Status
Idaho,Primary Health Medical Group,Urgent Care,"5601 W. Chinden Blvd, Garden City, ID 83714", 83714,(208) 809-2865,"8am-8pm, Daily","Patients can be evaluated and have samples collected at respiratory clinics in Garden City, Meridian and Nampa. Patients are asked to all ahead for a same-day appointment and remain in the car upon arrival.",https://www.primaryhealth.com/coronavirus-covid-19,New Testing Site
Idaho,Primary Health Medical Group,Urgent Care,"3280 E. Lanark Dr. Meridian, ID 83642", 83642,(208) 895-8670,"8am-8pm, Daily","Patients can be evaluated and have samples collected at respiratory clinics in Garden City, Meridian and Nampa. Patients are asked to all ahead for a same-day appointment and remain in the car upon arrival.",https://www.primaryhealth.com/coronavirus-covid-19,New Testing Site
Idaho,St. Luke's Wood River Hospital,Drive-Thru,"100 Hospital Dr, Ketchum, ID 83340", 83340,(208) 381-9500,"10am-4pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/mar/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Nampa Medical Center,Screening Hotline,"9850 W St Lukes Dr, Nampa, ID 83687", 83687,(208) 381-9500,Open 24 hrs,"Call the St. Luke's triage hotline at 208-381-9500 for screening and triage. A member of the clinical staff will complete a risk assessment over the phone and provide guidance on next steps, which may include specimen collection for testing at a local facility, if necessary.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's McCall Medical Center-Parking Lot,Drive-Thru,"1000 State St, McCall, ID 83638", 83638,(208) 634-1776,"8am-6pm, Monday-Friday; 9am-3pm Saturday-Sunday","Suspected COVID-19 patients will be screened at their cars by appointment only and, if needed, have a sample collected for testing. To make an appointment call 208-634-1776.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,Primary Health Medical Group,Urgent Care,"700 Caldwell Blvd., Nampa, ID 83651", 83651,(208) 466-6567,"8am-8pm, Daily","Patients can be evaluated and have samples collected at respiratory clinics in Garden City, Meridian and Nampa. Patients are asked to all ahead for a same-day appointment and remain in the car upon arrival.",https://www.primaryhealth.com/coronavirus-covid-19,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Jerome Family Medicine,Screening Hotline,"132 5th Ave. W. Suites 1 and 2, Jerome, ID 83338", 83338,(208) 814-9800,"8am-5pm, Monday-Friday","A member of the clinical staff will complete a risk assessment over the phone and provide guidance on next steps, which may include specimen collection for testing at a local facility, if necessary.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Idaho,St. Luke's Surgery Center at the Magic Valley,Drive-Thru,"575 Pole Line Rd. W., Twin Falls, ID, 83301", 83301,(208) 381-9500,"10am-6pm, Daily","In an effort to help manage patient flow in all urgent care, emergency department and ambulatory clinic sites, there will be standing up COVID-19 tents for screening and specimen collection for testing. The tents will hold supplies, and patients will stay in their cars for screening, registration and specimen collection for testing. Please note: If patients arrive needing medical care, they will be directed appropriately (e.g. immediate attention to ED). If patients present and don’t meet the criteria for testing, they will be sent home to conserve resources. You can call the triage hotline ahead of arrival to ensure you are eligible for testing.",https://www.stlukesonline.org/blogs/st-lukes/notes-and-announcements/2020/apr/st-lukes-covid-19-coronavirus-announcement,New Testing Site
Illinois,Roseland Hospital,Drive-thru/Walk-up,"45 W 111th St, Chicago, IL 60628", 60628,,"9am-3pm, Daily","Each person will be given a number and then will be seen by a physician for COVID-19 symptoms. They will then be screened by a doctor. If the doctor believes the patient should be tested, the patient will be given one of the 200 available COVID-19 swab test, or blood tests. At this time, they will prioritize those who are at showing symptoms like fever and cough, and have traveled or been exposed to someone who has COVID-19. The hospital will be asking for health care insurance. Roseland Community Hospital is in the process of determining the cost of the tests for uninsured patients.",https://abc7chicago.com/health/roseland-community-hospital-offers-drive-thru-covid-19-testing/6069211/,New Testing Site
Illinois,McLean county fairgrounds,drive thru,"1106 Interstate Dr, Bloomington, IL 61705", 61705,,9AM - 5PM daily,"The drive-thru Covid-19 testing site they can test up to 250 people per day.

If you meet the criteria you can drive to the site at the McLean County Fairgrounds and be tested for free.

Drive Thru Testing Site Guidelines

* Healthcare workers with symptoms
* First Responders with symptoms
* Individuals over 65 with symptoms
* Individuals with underlying health conditions with symptoms

***You must be symptomatic but lack of a fever does not make you ineligible. Here is the link to symptom information from the CDC: https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html

Please remember each vehicle can have a maximum of four occupants and anyone being screened and/or tested needs to be seated next to an operating window. People will be permitted to step outside of their vehicles to use the portable restrooms but may not wander. You may not have taken any fever reducing medications within six hours prior to testing.

If you're concerned about yourself and meet the criteria please go out.",https://www.mcleancountyema.org/,New Testing Site
Iowa,Mercy Family Medicine-Coralville,Drive-thru,"2055 Oakdale Rd. Coralville, IA 52241",52241,(319) 248-0037,By appointment only.,"At this time, testing is being done by appointment only - no walk-ins will be accepted. You must call ahead to determine if you are eligible for testing. Instructions for testing will be provided to you once you are screened.",https://www.press-citizen.com/story/news/2020/04/02/separate-clinics-set-up-reduce-exposure/5113419002/,New Testing Site
Louisiana,The Burton Complex,Drive-Thru,"7001 Gulf Hwy, Lake Charles, LA 70607", 70607,,"8:30am-3:30pm, April 7-9th",The tests are for persons with symptoms who are at high risk for complications. Residents who seek testing should bring a driver’s license or state-issued identification and any insurance information they may have. A doctor’s referral is not needed. Residents may begin lining up at 8:30 am. A maximum of two people per vehicle may be tested and all must sit in the front seat of the vehicle. This site is intended for people who need testing and have mild or moderate symptoms.,https://www.katc.com/news/coronavirus/covid-19-screening-and-testing-sites,New Testing Site
Louisiana,West Jeff Medical Center- Marrero,Drive-Thru,"1101 Medical Center Blvd, Marrero, LA 70072", 70072,(504) 962-6202,12pm-8pm daily,Anyone experiencing symptoms is encouraged to call the hotline at: 504-962-6202. If further evaluation is deemed necessary patients will be instructed to vist the drive through Screening Center. Patients are asked to bring valid ID and insurance card.,https://docs.google.com/spreadsheets/d/18vys3Y5Owxbxnd5Sw0yB2r4LcfOxH1ERWBayI2ZwlMU/edit#gid=80312056,New Testing Site
Louisiana,The Cajundome,Drive-Thru,"444 Cajundome Blvd, Lafayette, LA 70506", 70506,(337) 534-8378,"8:30 am - 10:30 am, Daily","Residents should first call 311 to speak with a healthcare professional. It will then be determined if they should contact their PCP, visit an urgent care facility or emergency room, or go to the Cajundome for further screening. Once there, residents will be screened for possible symptoms. If so, they will first be tested for the flu. If that test comes back negative, they will be tested for COVID-19. In addition to 311, LCG has set up an alternate line for phone screening at (337) 534-TEST. Residents should bring a picture ID and insurance card to be tested for the flu or COVID-19. Screening and testing services are free. The site is only for individuals in high risk groups who have symptoms. People who are 60 or older, immune compromised, on dialysis, have cancer and are immune compromised and have symptoms will be screened at the location. The screening is not intended for people who are young and healthy or are in the high risk groups but have no symptoms.",http://www.lafayettela.gov/siteassets/files/ScreeningSite-2.pdf,New Testing Site
Louisiana,Oschner Center for Primary Care and Wellness,Drive-Thru,"1401 Jefferson Hwy, Jefferson, LA 70121", 70121,,by appointment only.,Ochsner patients only - orders come through the electronic medical record system.,https://docs.google.com/spreadsheets/d/18vys3Y5Owxbxnd5Sw0yB2r4LcfOxH1ERWBayI2ZwlMU/edit#gid=80312056,New Testing Site
Louisiana,Crescent Care,Drive-Thru/Walk-up,"1631 Elysian Fields Ave, New Orleans, LA 70117", 70117,(504) 821-2601,"8:30am-5pm, Monday-Friday",All clients are asked to please call ahead before visit any CrescentCare site. 1631 Elysian Fields location will provide walk-in testing from 9am-4pm if patient presents with fever AND one of the following 3 symptoms: cough OR shortness of breath OR sore throat. Please bring picture ID and insurance card.,https://docs.google.com/spreadsheets/d/18vys3Y5Owxbxnd5Sw0yB2r4LcfOxH1ERWBayI2ZwlMU/edit#gid=80312056,New Testing Site
Maryland,Anne Arundel County Department of Health,Drive-Thru,"3 Harry S. Truman Pkwy, Annapolis, MD 21401", 21401,(410) 222-7095,Call to confirm,"To be tested at this facility, you must have a doctor's referral.",https://aahealth.org/,New Testing Site
Missouri,Lake Regional Health System,Hospital,"54 Hospital Dr Suite 111, Osage Beach, MO 65065", 65065,(573) 348-8000,Call to confirm,"If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, you may be tested at this location. Please call (573) 348-8000 to set up an appointment.",https://www.lakeregional.com/,New Testing Site
Missouri,NextCare Urgent Care,Hospital,"2741 NE McBaine Dr, Lee's Summit, MO 64064", 64064,(816) 554-2600,"8 am - 8 pm, Every day","If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, you may be tested at this location. Please call (816) 554-2600 to set up your appointment.",https://nextcare.com/locations/mo/nextcare-urgent-care-clinic-lee-summit-missouri/?utm_source=GoogleMaps&utm_medium=Local&utm_campaign=lees_summit,New Testing Site
Missouri,Next Care Urgent Care,Hospital,"1860 N Church Rd, Liberty, MO 64068", 64068,(816) 415-2828,8 am - 8 pm Monday - Friday; 9 am - 4 pm Saturday - Sunday,"If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, you may be tested at this location. Please call (816) 415-2828 to set up your appointment.",https://nextcare.com/locations/mo/nextcare-urgent-care-clinic-liberty-missouri/?utm_source=GoogleMaps&utm_medium=Local&utm_campaign=liberty,New Testing Site
Missouri,Missouri Health Laboratory,Laboratory,"101 Chestnut St, Jefferson City, MO 65101", 65101,(573) 751-3334,Call to confirm,The Missouri Health Labratory will only be testing first responders and health care officials. Please call to schedule an appointment for testing.,,New Testing Site
Missouri,Hermann Area District Hospital,Hospital,"509 W 18th St, Hermann, MO 65041", 65041,(573) 569-5049,,"If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, call (573) 569-5049 to be tested at this facility.",https://www.hadh.org/,New Testing Site
Missouri,First Point Urgent Care MO,Hospital,"8144 NW Prairie View Rd, Kansas City, MO 64151", 64151,(816) 505-3669,9 am - 8 pm Monday - Friday; 9 am -  5 pm Saturday; 10 am - 5 pm Sunday,"If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, please fill out the telemedicine form online through https://www.firstpointurgentcare.org/telemedicine to set up your appointment.",https://www.firstpointurgentcare.org/telemedicine,New Testing Site
Missouri,Urgent Care of Kansas City,Hospital,"4741 S Arrowhead Dr # B, Independence, MO 64055", 64055,(816) 795-6000,"8:30 am - 9 pm, Every day","If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, you may be tested at this facility.",http://gotomyurgentcare.com/,New Testing Site
Missouri,Pershing Memorial Hospital,Hospital,"130 E Lockling Ave, Brookfield, MO 64628", 64628,(660) 258-2222,Call to confirm,"If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, you may be tested at this location.",http://www.phsmo.org/,New Testing Site
Missouri,Fitzgibbon Hospital,Drive-Thru,"1860 N Church Rd, Liberty, MO 64068", 64068,(816) 415-2828,24 hours,"If you have developed symptoms such as fever, cough, and/or difficulty breathing, and have been in close contact with a person known to have COVID-19, you may be tested at this facility. Please pull up to the curbside of the emergency department and stay in your car until a healthcare professional comes to your window.",,New Testing Site
Missouri,Saint Luke’s Hospital,Hospital,"232 S Woods Mill Rd, Chesterfield, MO 63017", 63017,(816) 251-6100,Call to confirm,"Tests require a referral from your doctor. Once you're tested, your doctor will be contacted with information regarding next steps.",,New Testing Site
Nevada,Serenity Mental Health,Drive-Thru,"755 N. Roop St Ste. 101, Carson City, NV 89701", 89701,(775) 841-6050,Call to confirm hours,Appointment required. Please visit website for instructions on how to make an appointment: www.serenitymentalhealth.org.,https://www.serenitymentalhealth.org/,New Testing Site
Nevada,Serenity Mental Health,Drive-Thru,"2280 E. Calvada Blvd., Ste. 301, Pahrump, NV 89048", 89048,(775) 751-5211,Call to confirm hours,Appointment required. Please visit website for instructions on how to make an appointment: www.serenitymentalhealth.org.,https://www.serenitymentalhealth.org/,New Testing Site
New Jersey,Rowan College Cumberland Campus,Drive-Thru,"3322 College Drive, Vineland, NJ 08360", 08360,(856) 451-4700,call,"You must have both a prescription and an appointment provided to you by the Cumberland County Health Department in order to be tested. To make an appointment: 1.) Visit CompleteCareNJ.org's Request an Appointment Page, complete the form, and choose COVID-19 Telephone Screening as your reason for visit. 2.) Wait for a call back from CompleteCare. The agent will schedule you a telephone screening with a CompleteCare provider. 3.) During your telephone appointment, the provider will determine if you need to be tested. Not everyone will require a test. 4.) If you require a test, your prescription will be electronically submitted to Lab Corp. 5.) After your prescription is submitted, the Cumberland County Health Department will contact you to schedule your drive-thru test appointment time. 6. At the day and time of your scheduled appointment you should visit the Cumberland County testing location. No one will be tested without an appointment.",https://www.completecarenj.org/request-an-appointment/,New Testing Site
New Jersey,NJ MVC Kilmer Inspection Center,Drive-Thru,"33 Kilmer Road, Edison, NJ 08817", 08817,(732) 745-3100,"10 am - 2 pm Monday, Wednesday, Friday","To receive testing, you must be a Middlesex County resident (valid driver's license or state issued identification is required), make an appointment online or via phone, as well as either have a valid doctor's prescription or be exhibiting symptoms which include: fever 100.4 degrees or higher (99.6 degrees for people 65 years and older); respiratory symptoms; and/or shortness of breath. Residents can make their appointments online or by phone and can only be made the day before a testing day.",http://www.middlesexcountynj.gov/News/Pages/Middlesex-County-opening-COVID-19-drive-thru-testing-site-on-April-1-in-Edison.aspx,New Testing Site
New Jersey,Ocean County College,Drive-Thru,"1 College Drive, Toms River, NJ 08754", 08754,(800) 342-9738,9 am - 3 pm Monday - Friday,"Testing is by appointment only for Ocean County residents. Obtain a physician's prescription for a test and then register online. Must present proof of Ocean County residency. Residents can obtain prescriptions online: Hackensack Meridian Health (Ocean Medical Center, Southern Ocean Medical Center) https://www.hackensackmeridianhealth.org/covid19/
 OR RWJ Barnabas Healthcare System (Community Medical Center, Monmouth Medical Center Southern Campus) www.RWJBHtelemed.org  use code RWJBH15",https://ochd.simplybook.me/v2/,New Testing Site
New Mexico,NMDOH NW Region - Midtown Public Health Office,Drive-Thru,"2400 Wellesley Dr NE, Albuquerque, New Mexico 87107", 87107,(505) 235-1564,8 am - 5 pm Monday - Friday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,UNMH Respiratory Care Center,Clinic,"2211 Lomas Blvd. NE, Albuquerque, New Mexico 87106", 87106,(505) 272-2411,24 hours,Located next to patient parking garage in the Barbara and Bill Richardson Pavilion (BBRP). Directions to the Respiratory Care Center will be provide at the building entrance.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SE Region - Roswell Public Health Office,Drive-Thru,"200 E. Chisum St., Roswell, New Mexico 88203", 88203,(575) 624-6050,8:30 am - 11:30 am Monday - Thursday,Call for appointment.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH NW Region - Grants Public Health Office,Drive-Thru,"700 E. Roosevelt, Suite 100, Grants, New Mexico 87020", 87020,(505) 285-4601,8 am - 5 pm Monday - Friday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Colfax General Lab,Drive-Thru,"615 Prospect Ave, Springer, New Mexico 87747", 87747,(575) 483-3310,7 am - 1 pm Monday - Friday,Testing is by appointment only. Call for appointment.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SE Region - Clovis Public Health Office,Drive-Thru,"1216 Cameo, Clovis, New Mexico 88101", 88101,(575) 763-5583,1 pm - 4 pm Monday - Thursday,Call for an appointment. A referral from a healthcare provider or the Department of Health is preferred. Please stay in your vehicle.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,Ft. Sumner Public Health Department,Drive-Thru,"643 5TH STREET, FORT SUMNER, New Mexico 88119", 88119,(575) 355-2362,2 pm - 4 pm Friday,Call for appointment.,https://cvprovider.nmhealth.org/directory.html,New Testing Site
New Mexico,NMDOH SW Region - Anthony Public Health Office,Drive-Thru,"865 N. Anthony Dr, Anthony, New Mexico 88021", 88021,(575) 882-5858,8:30 am - 11:30 am Monday - Friday,Please call to schedule an appointment and you will receive further instructions. (575) 882-5858 ext. 4,https://cvprovider.nmhealth.org/directory.html,New Testing Site
