Ignore,Key Address,Key Name,State,Testing Site Name,Facility Type,Testing Site Address,Testing Site Zip,Testing Site Phone Number,Testing Site Hours,Instructions,URL Source,
,"2500 Hospital Drive Martinsburg, WV 25401",Berkeley Medical Center,West Virginia,Berkeley Medical Center,Drive-Thru,"2500 Hospital Drive Martinsburg, WV 25401",25401,(304) 598-6000,10 am - 4 pm,Patients need a referral from a physician in order to have a sample collected at one of the sites to ensure only the highest-risk patients are identified and receive the appropriate medical intervention. Results will be ready in about three to four days.,https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/,
,"55 Hazel Ruby Lane, Mt Hope, WV 25880",J.W. And Hazel Ruby West Virginia Welcome Center,West Virginia,J.W. And Hazel Ruby West Virginia Welcome Center,Drive-Thru,"55 Hazel Ruby Lane, Mt Hope, WV 25880",25880,(304) 574-1617,Call to confirm,"If you think you need a test call the Fayette County Health Department at 304-574-1617. Officials said they are taking it day by day, and will update the public when tests will be given.",https://www.wvnstv.com/community/health/coronavirus/drive-thru-testing-for-covid-19-happening-in-fayette-county/,
,"327 Medical Park Drive Bridgeport, WV 26330",United Hospital Center,West Virginia,United Hospital Center,Drive-Thru,"327 Medical Park Drive Bridgeport, WV 26330",26330,(304) 598-6000,10 am - 4 pm,Patients need a referral from a physician in order to have a sample collected at one of the sites to ensure only the highest-risk patients are identified and receive the appropriate medical intervention. Results will be ready in about three to four days.,https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/,
,"1 Medical Center Drive Morgantown, WV 26506",J.W. Ruby Memorial Hospital,West Virginia,J.W. Ruby Memorial Hospital,Drive-Thru,"1 Medical Center Drive Morgantown, WV 26506",26506,(304) 598-6000,10 am - 4 pm,Patients need a referral from a physician in order to have a sample collected at one of the sites to ensure only the highest-risk patients are identified and receive the appropriate medical intervention. Results will be ready in about three to four days.,https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/,
,"1 Medical Park Wheeling, WV 26003",Wheeling Hospital,West Virginia,Wheeling Hospital,Drive-Thru,"1 Medical Park Wheeling, WV 26003",26003,(304) 598-6000,10 am - 4 pm,Patients need a referral from a physician in order to have a sample collected at one of the sites to ensure only the highest-risk patients are identified and receive the appropriate medical intervention. Results will be ready in about three to four days.,https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/,
,"330 N Eisenhower Drive Beckley, WV 25801",Amjad Medical Clinic,West Virginia,Amjad Medical Clinic,Drive-Thru,"330 N Eisenhower Drive Beckley, WV 25801",25801,(304) 252-5900,Call to confirm,"A patient will either have to call her office and fill out a questionnaire over the phone, or they will have to have an order from another doctor to be tested.",https://www.wvnstv.com/news/first-drive-thru-covid-19-testing-opens-in-beckley/,
,"2804 Birch Street, Parkersburg, WV 26101",Camden Clark Health and Wellness Center,West Virginia,Camden Clark Health and Wellness Center,Drive-Thru,"2804 Birch Street, Parkersburg, WV 26101",26101,(304) 598-6000,10 am - 4 pm,Patients need a referral from a physician in order to have a sample collected at one of the sites to ensure only the highest-risk patients are identified and receive the appropriate medical intervention. Results will be ready in about three to four days.,https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/,
,"16045 1st Avenue South, Burien, WA",Franciscan Prompt Care,Washington,Franciscan Prompt Care,Urgent Care,"16045 1st Avenue South, Burien, WA",,(206) 965-4180,Monday - Friday 8am - 7:30pm; Saturday - Sunday 8am - 4:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"30809 First Ave S, Federal Way, WA",Franciscan Medical Clinic,Washington,Franciscan Medical Clinic,Urgent Care,"30809 First Ave S, Federal Way, WA",,(253) 839-2030,Monday - Sunday 7am - 6pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"3021 Griffin Ave, Enumclaw, WA",Franciscan Medical Clinic,Washington,Franciscan Medical Clinic,Urgent Care,"3021 Griffin Ave, Enumclaw, WA",,(360) 825-6511,Monday - Sunday 7am - 6pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"1455 Battersby Ave, Enumclaw, WA",St. Elizabeth Hospital,Washington,St. Elizabeth Hospital,Hospital,"1455 Battersby Ave, Enumclaw, WA",,(360) 802-8800,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"34515 9th Ave S, Federal Way, WA",St. Francis Hospital,Washington,St. Francis Hospital,Hospital,"34515 9th Ave S, Federal Way, WA",,(253) 835-8100,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"16251 Sylvester Rd SW, Burien, WA",Highline Medical Center,Washington,Highline Medical Center,Hospital,"16251 Sylvester Rd SW, Burien, WA",,(206) 244-9970,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"1344 Wintergreen Lane NE, Bainbridge Island, WA",Franciscan Medical Clinic,Washington,Franciscan Medical Clinic,Urgent Care,"1344 Wintergreen Ln NE, Bainbridge Island, WA 98110",,(206) 855-7500,Monday - Sunday 7am - 7pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"450 S. Kitsap Blvd, Port Orchard, WA",Harrison Port Orchard Urgent Care,Washington,Harrison Port Orchard Urgent Care,Urgent Care,"450 S. Kitsap Blvd, Port Orchard, WA",,(360) 744-6275,Monday - Sunday 8am - 7:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"9621 Ridgetop Blvd NW, Silverdale, WA",The Doctors Clinic Ridgetop East,Washington,The Doctors Clinic Ridgetop East,Urgent Care,"9621 Ridgetop Blvd NW, Silverdale, WA",,(360) 782-3400,Monday - Friday 8:30am - 7pm; Saturday - Sunday 9am - 5pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"2520 Cherry Ave, Bremerton, WA",Harrison Medical Center,Washington,Harrison Medical Center,Hospital,"2520 Cherry Ave, Bremerton, WA",,(360) 744-3911,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"1800 NW Myhre Rd, Silverdale, WA",Harrison Medical Center,Washington,Harrison Medical Center,Hospital,"1800 NW Myhre Rd, Silverdale, WA",,(360) 744-8800,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"21 N.E Romance Hill Rd, Belfair, WA",Harrison Belfair Urgent Care,Washington,Harrison Belfair Urgent Care,Urgent Care,"21 N.E Romance Hill Rd, Belfair, WA",,(360) 277-2975,Monday - Sunday 7:30am - 7:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"1812 South J Street, Tacoma, WA",Franciscan Prompt Care at St. Joseph,Washington,Franciscan Prompt Care at St. Joseph,Urgent Care,"1812 South J Street, Tacoma, WA",,(253) 428-2200,Monday - Friday 8am - 7:30pm; Saturday - Sunday 8am - 4:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"9230 Sky Island Dr. E Bonney Lake, WA",Franciscan Medical Pavilion,Washington,Franciscan Medical Pavilion,Urgent Care,"9230 Sky Island Dr. E Bonney Lake, WA",,(253) 750-6000,Monday - Friday 8am - 7:30pm; Saturday - Sunday 8am - 4:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"15214 Canyon Road E, Puyallup, WA",Franciscan Medical Pavilion,Washington,Franciscan Medical Pavilion,Urgent Care,"15214 Canyon Road E, Puyallup, WA",,(253) 539-4200,Monday - Friday 8am - 7:30pm; Saturday - Sunday 8am - 4:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"4700 Pt. Fosdick Dr N.W., Gig Harbor, WA",Franciscan Prompt Care,Washington,Franciscan Prompt Care,Urgent Care,"4700 Pt. Fosdick Dr N.W., Gig Harbor, WA",,(253) 853-2050,Monday - Friday 8am - 7:30pm; Saturday - Sunday 8am - 4:30pm,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"11567 Canterwood Blvd, Gig Harbor, WA",St. Anthony Hospital,Washington,St. Anthony Hospital,Hospital,"11567 Canterwood Blvd, Gig Harbor, WA",,(253) 530-2000,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"11315 Bridgeport Way SW, Lakewood, WA",St. Clare Hospital,Washington,St. Clare Hospital,Hospital,"11315 Bridgeport Way SW, Lakewood, WA",,(253) 985-1711,24/7,"If you or a loved one have mild respiratory symptoms suggesting Coronavirus (COVID-19) such as cough, low-grade fever or mild respiratory problems, schedule a FREE Franciscan Virtual Urgent Care visit today and enter the discount code COVID19. Learn more about Franciscan Virtual Urgent Care at their website (https://www.chifranciscan.org/health-care-services/virtual-care.html#/home). If you have a fever and cough and are at a higher risk of COVID-19 infection, go in for an assessment. Patients at higher risk of severe COVID-19 infection include: healthcare workers, first responders, patients in nursing homes, patients with severe lung illness or chronic disease, exposure to a known COVID-19 patient, pregnant women and patients older than 60 years.",https://www.chifranciscan.org/patients-and-visitors/covid-19.html,
,"3900 Broadway, Everett, WA 98201",Everett Memorial Stadium,Washington,Everett Memorial Stadium,Drive-Thru,"3900 Broadway, Everett, WA 98201",98201,,"9 am - 4 pm, Monday - Thursday; 9 am - 6 pm Saturday","To be tested in this drive-thru, you must experience symptoms AND work in the field of essential service (medical professional, grocery store clerk, train conductor, etc.) or be over the age of 60, have preexisting health conditions, or if you are currently pregnant. Although a doctor's referral isn't necessary, an appointment is, please visit the following:  https://redcap.link/Snohomish-COVID-19.",https://www.snohd.org/503/Drive-Thru-Testing-Available-by-Appointm,
,"Drive-Thru: 1429 N. Quincy St., Arlington, VA 22207",Virigina Hospital Center,Washington D.C,Virigina Hospital Center,Drive-Thru,"Drive-Thru: 1429 N. Quincy St., Arlington, VA 22207",22207,(703) 558-5000,"9 am - 3pm, Monday - Friday","To be tested at this facility, you must have a doctor's referral",https://www.wusa9.com/article/news/health/coronavirus/heres-a-list-of-testing-centers-across-the-dmv-area/65-d8542f08-ad11-450a-941d-ab56ca9b68a5,
,"15 Metropolitan Grove Road, Gaithersburg, MD 20878",MDOT MVA Vehicle Inspection/Emission Center: Gaithersburg,Washington D.C,MDOT MVA Vehicle Inspection/Emission Center: Gaithersburg,Drive-Thru,"15 Metropolitan Grove Road, Gaithersburg, MD 20878",20878,,,Location is not operational yet,https://www.beebehealthcare.org/patients-visitors/public-health-information,
,"16520 S. Westland Drive, Walnut Hill, MD 20877",MDOT MVA Vehicle Inspection/Emission Center: Walnut Hill,Washington D.C,MDOT MVA Vehicle Inspection/Emission Center: Walnut Hill,Drive-Thru,"16520 S. Westland Drive, Walnut Hill, MD 20877",20877,,,Location is not operational yet,https://www.beebehealthcare.org/patients-visitors/public-health-information,
,"15910 Chieftain Avenue, Derwood, MD 20855",MDOT MVA Vehicle Inspection/Emission Center: Derwood,Washington D.C,MDOT MVA Vehicle Inspection/Emission Center: Derwood,Drive-Thru,"15910 Chieftain Avenue, Derwood, MD 20855",20855,,,Location is not operational yet,https://coronavirus.delaware.gov/testing/,
,"2121 Industrial Parkway, Silver Spring, MD 20904",MDOT MVA Vehicle Inspection/Emission Center: Silver Spring,Washington D.C,MDOT MVA Vehicle Inspection/Emission Center: Silver Spring,Drive-Thru,"2121 Industrial Parkway, Silver Spring, MD 20904",20904,,,Location is not operational yet,,
,"12335 Georgia Avenue, Glenmont, MD 20906",MDOT MVA Vehicle Inspection/Emission Center: Glenmont,Washington D.C,MDOT MVA Vehicle Inspection/Emission Center: Glenmont,Drive-Thru,"12335 Georgia Avenue, Glenmont, MD 20906",20906,,,Location is not operational yet,,
